yyyymm,tbl,AAA,BAA,lty,default-spread,term-spread
196302,0.0292,0.0419,0.0489,0.0400,0.0070,0.0108
196303,0.0289,0.0419,0.0488,0.0401,0.0069,0.0112
196304,0.0290,0.0421,0.0487,0.0405,0.0066,0.0115
196305,0.0293,0.0422,0.0485,0.0406,0.0063,0.0113
196306,0.0299,0.0423,0.0484,0.0407,0.0061,0.0108
196307,0.0318,0.0426,0.0484,0.0407,0.0058,0.0089
196308,0.0332,0.0429,0.0483,0.0408,0.0054,0.0076
196309,0.0338,0.0431,0.0484,0.0410,0.0053,0.0072
196310,0.0345,0.0432,0.0483,0.0415,0.0051,0.0070
196311,0.0352,0.0433,0.0484,0.0414,0.0051,0.0062
196312,0.0352,0.0435,0.0485,0.0417,0.0050,0.0065
196401,0.0352,0.0439,0.0483,0.0421,0.0044,0.0069
196402,0.0353,0.0436,0.0483,0.0424,0.0047,0.0071
196403,0.0354,0.0438,0.0483,0.0424,0.0045,0.0070
196404,0.0347,0.0440,0.0485,0.0423,0.0045,0.0076
196405,0.0348,0.0441,0.0485,0.0422,0.0044,0.0074
196406,0.0348,0.0441,0.0485,0.0419,0.0044,0.0071
196407,0.0346,0.0440,0.0483,0.0421,0.0043,0.0075
196408,0.0350,0.0441,0.0482,0.0423,0.0041,0.0073
196409,0.0353,0.0442,0.0482,0.0421,0.0040,0.0068
196410,0.0357,0.0442,0.0481,0.0421,0.0039,0.0064
196411,0.0364,0.0443,0.0481,0.0422,0.0038,0.0058
196412,0.0384,0.0444,0.0481,0.0423,0.0037,0.0039
196501,0.0381,0.0443,0.0480,0.0422,0.0037,0.0041
196502,0.0393,0.0441,0.0478,0.0424,0.0037,0.0031
196503,0.0393,0.0442,0.0478,0.0422,0.0036,0.0029
196504,0.0393,0.0443,0.0480,0.0422,0.0037,0.0029
196505,0.0389,0.0444,0.0481,0.0423,0.0037,0.0034
196506,0.0380,0.0446,0.0485,0.0423,0.0039,0.0043
196507,0.0384,0.0448,0.0488,0.0424,0.0040,0.0040
